20170614100038.wav,Unknown,'x6v',NotAccepted,'7.66951's
20170614100049.wav,Unknown,'adm8',NotAccepted,'8.31679's
20170614100100.wav,Unknown,'jyjyq',Accepted,'7.39011's
20170614100111.wav,Unknown,'7rjj6',NotAccepted,'7.36094's
20170614100124.wav,Unknown,'3rgz',NotAccepted,'7.38581's
20170615062106.wav,Unknown,'bm18e',NotAccepted,'9.50678's
20170615062119.wav,Unknown,'l',NotAccepted,'5.35527's
20170615062127.wav,Unknown,'4zd6q',Accepted,'6.82921's
20170615070145.wav,Unknown,'r53rm',Accepted,'11.20886's
20170615070159.wav,Unknown,'v6vu2',Accepted,'7.39033's
20170615070209.wav,Unknown,'dhm92',Accepted,'6.65843's
20170615070219.wav,Unknown,'bm',NotAccepted,'7.70496's
20170615070358.wav,Unknown,'8r',NotAccepted,'7.13349's
20170615070408.wav,Unknown,'je4c',NotAccepted,'7.38276's
20170615070418.wav,Unknown,'rdekr',Accepted,'7.7897's
20170615070429.wav,Unknown,'undefined4en',NotAccepted,'7.70216's
20170615070439.wav,Unknown,'njv',NotAccepted,'6.72006's
20170615070647.wav,Unknown,'vyby',NotAccepted,'8.30769's
20170615070658.wav,Unknown,'knvv',NotAccepted,'7.183's
20170615070708.wav,Unknown,'9iz28yu',NotAccepted,'6.82363's
20170615070717.wav,Unknown,'wundefinedij',NotAccepted,'7.89756's
20170615070728.wav,Unknown,'2v9',NotAccepted,'6.87977's
20170615070738.wav,Unknown,'5ctf5',Accepted,'6.76258's
20170615070747.wav,Unknown,'zdfl',NotAccepted,'6.88784's
20170615070757.wav,Unknown,'9m4',NotAccepted,'6.59783's
20170615070807.wav,Unknown,'mundefinedb',NotAccepted,'17.56629's
20170615070827.wav,Unknown,'p',NotAccepted,'8.13732's
20170615070838.wav,Unknown,'n73',NotAccepted,'6.35562's
20170615070847.wav,Unknown,'8m1',NotAccepted,'7.31714's
20170615070857.wav,Unknown,'mb588e',NotAccepted,'7.87554's
20170615070908.wav,Unknown,'8nwv',NotAccepted,'7.51935's
20170615070918.wav,Unknown,'2undefinedundefinedrjq',NotAccepted,'7.59569's
20170615070929.wav,Unknown,'hune',NotAccepted,'6.94083's
20170615070938.wav,Unknown,'036z',NotAccepted,'6.98213's
20170615070948.wav,Unknown,'1bw58',NotAccepted,'6.80297's
20170615070957.wav,Unknown,'0cgh',NotAccepted,'7.73818's
20170615071008.wav,Unknown,'460vb',NotAccepted,'7.30468's
20170615071018.wav,Unknown,'ch48',NotAccepted,'6.54317's
20170615071027.wav,Unknown,'e8',NotAccepted,'8.02114's
20170615071038.wav,Unknown,'m32yh',NotAccepted,'6.48635's
20170615071048.wav,Unknown,'bb2i1',Accepted,'7.20638's
20170615071058.wav,Unknown,'e3uir',NotAccepted,'7.09991's
20170615071108.wav,Unknown,'9x57',NotAccepted,'6.79917's
20170615071119.wav,Unknown,'c8ldn',Accepted,'6.76003's
20170615071128.wav,Unknown,'60undefinedundefinedb',NotAccepted,'7.18928's
20170615071138.wav,Unknown,'8or4',NotAccepted,'7.2401's
20170615071148.wav,Unknown,'3uundefined',NotAccepted,'5.98729's
