20161129-033257.wav,US,'30850',Accepted,'16.46988's
20161129-033331.wav,US,'31337',Accepted,'16.07979's
20161129-033405.wav,US,'63170',Accepted,'15.80645's
20161129-033439.wav,US,'59025',Accepted,'15.66872's
20161129-033514.wav,US,'40600',Accepted,'16.47104's
20161129-033550.wav,US,'75541',Accepted,'16.69544's
20161129-033625.wav,US,'50620',Accepted,'17.20611's
20161129-033703.wav,US,'97069',Accepted,'16.94589's
20161129-033739.wav,US,'70839',Accepted,'16.36331's
20161129-033813.wav,US,'97270',Accepted,'14.87439's
20161129-033849.wav,US,'23298',Accepted,'15.93289's
20161129-033926.wav,US,'07045',Accepted,'16.88525's
20161129-034002.wav,US,'50250',Accepted,'15.22488's
20161129-034038.wav,US,'11602',Accepted,'17.67713's
20161129-034111.wav,US,'38121',Accepted,'16.96731's
20161129-034147.wav,US,'48836',Accepted,'16.65428's
20161129-034224.wav,US,'73361',Accepted,'15.9662's
20161129-034301.wav,US,'94885',Accepted,'16.43083's
20161129-034334.wav,US,'73810',Accepted,'15.64079's
20161129-034406.wav,US,'60300',Accepted,'16.96878's
20161129-034441.wav,US,'88141',Accepted,'16.1315's
20161129-034518.wav,US,'53310',Accepted,'17.68333's
20161129-034556.wav,US,'44000',Accepted,'36.78876's
20161129-034650.wav,US,'94000',Accepted,'16.15861's
20161129-034725.wav,US,'69400',Accepted,'17.29582's
20161129-034802.wav,US,'18345',Accepted,'17.39313's
20161129-034839.wav,US,'21736',Accepted,'16.46446's
20161129-034914.wav,US,'77560',Accepted,'15.7978's
20161129-034952.wav,US,'39270',Accepted,'16.8225's
20161129-035027.wav,US,'51700',Accepted,'15.78116's
20161129-035101.wav,US,'03000',Accepted,'36.43575's
20161129-035155.wav,US,'02467',Accepted,'16.01204's
20161129-035230.wav,US,'75050',Accepted,'15.82739's
20161129-035302.wav,US,'32000',Accepted,'58.62608's
20161129-035419.wav,US,'74910',Accepted,'15.65982's
20161129-035452.wav,US,'54720',Accepted,'16.17861's
20161129-035525.wav,US,'96233',Accepted,'17.07516's
20161129-035601.wav,US,'95350',Accepted,'17.42786's
20161129-035640.wav,US,'88000',Accepted,'37.55154's
20161129-035737.wav,US,'95400',Accepted,'16.58541's
20161129-035812.wav,US,'31800',Accepted,'35.69676's
20161129-035908.wav,US,'32412',Accepted,'17.78322's
20161129-035941.wav,US,'16411',Accepted,'16.26435's
20161129-040019.wav,US,'82819',Accepted,'17.53967's
20161129-040056.wav,US,'15771',Accepted,'16.70607's
20161129-040131.wav,US,'76004',Accepted,'17.92704's
20161129-040208.wav,US,'48490',Accepted,'17.63767's
20161129-040244.wav,US,'07600',Accepted,'17.77832's
20161129-040321.wav,US,'84810',Accepted,'15.54059's
20161129-040356.wav,US,'92863',Accepted,'17.77116's
20161129-040434.wav,US,'31910',Accepted,'16.98106's
20161129-040507.wav,US,'52790',Accepted,'17.53704's
20161129-040543.wav,US,'11539',Accepted,'14.93657's
20161129-040618.wav,US,'25121',Accepted,'16.11685's
20161129-040656.wav,US,'60168',Accepted,'15.6818's
